TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;14,63;3,40;10,03;0,75;0,07;1,96;-1,80;5,46;-30,44;-30,44;;;0,55;0,75;-0,09;3,23;7,51;0,74;;0,10;0,90;0,14;21,38;-3,68;12.968.002,45;19,41;1,46;-0,28;3.231.633.384,21
ABEV3;15,15;3,24;20,95;3,17;1,90;53,64;27,29;19,49;14,97;14,09;-0,88;-0,19;4,08;127,85;-2,65;1,06;15,14;9,09;17,72;0,60;0,40;0,47;4,56;-1,85;385.990.143,05;4,78;0,72;-6,16;238.387.037.169,75
AERI3;9,10;;61,60;7,22;2,94;11,13;9,30;5,13;33,94;36,17;2,23;0,47;3,16;9,61;-9,92;1,77;11,72;4,78;9,41;0,41;0,59;0,93;;;56.202.849,58;1,26;0,15;2,23;6.972.542.449,60
AGRO3;21,91;3,24;9,22;1,60;0,88;30,80;22,06;24,23;10,12;12,91;2,79;0,44;2,23;7,42;-1,28;1,61;17,40;9,55;9,06;0,55;0,45;0,39;13,49;-7,94;16.031.735,16;13,66;2,38;0,90;1.798.905.234,91
ALPA4;36,69;;153,90;7,15;4,48;52,34;8,15;4,17;78,66;72,20;-1,64;-0,15;6,41;15,39;-10,11;2,10;4,64;2,91;8,16;0,63;0,37;0,70;-3,59;-13,58;59.250.277,87;5,13;0,24;-3,15;20.253.196.107,36
ALSO3;26,57;;41,77;0,93;0,65;66,20;40,15;21,20;22,05;17,73;-4,32;-0,18;8,85;4,95;-0,78;4,37;2,22;1,55;3,37;0,70;0,30;0,07;19,22;-0,15;35.769.465,97;28,66;0,64;0,06;7.061.582.711,46
ALUP11;25,30;2,73;7,87;0,83;0,33;56,04;54,04;15,34;2,23;4,32;2,09;0,77;1,21;4,13;-0,40;1,78;10,53;4,17;14,02;0,40;0,60;0,27;32,68;29,19;18.966.332,37;30,52;3,21;1,35;7.413.838.368,57
AMAR3;5,30;;;1,40;0,41;37,31;-13,69;0,00;-4,74;-7,88;-3,14;0,93;0,65;4,28;-0,88;1,22;0,00;0,00;-12,12;0,29;0,71;0,64;-7,53;;22.330.537,39;3,79;0,00;;1.386.833.716,70
ANIM3;9,13;;-89,70;1,46;0,80;51,80;8,31;-2,89;31,20;31,54;0,33;0,02;2,59;2,21;-1,49;4,78;-1,63;-0,90;2,96;0,55;0,45;0,31;11,24;;27.547.943,74;6,26;-0,10;-0,27;3.687.322.189,65
ARZZ3;70,50;0,75;144,57;5,21;2,48;47,47;5,79;3,05;76,26;77,05;0,79;0,05;4,41;10,75;-5,54;1,72;3,60;1,72;4,34;0,48;0,52;0,56;7,26;-16,50;49.399.677,42;13,54;0,49;-2,06;7.024.014.687,00
ASAI3;72,70;;;13,84;1,04;;;;;;;3,05;;-52,16;-1,86;0,96;0,00;0,00;;0,07;0,93;0,00;;;191.634.517,45;5,25;0,00;;19.509.158.920,90
AURA33;69,00;6,64;3,46;0,82;0,48;41,37;29,34;24,52;2,89;2,35;-0,54;-0,15;0,85;2,65;-0,80;1,80;23,69;13,82;21,76;0,58;0,42;0,56;;;11.570.834,53;84,26;19,96;0,01;1.330.839.225,00
AZUL4;37,07;;-4,31;-3,30;2,96;4,97;-24,36;-188,62;-33,40;-36,41;-3,00;;8,14;-9,75;-4,50;0,53;-76,58;-68,60;24,18;-0,90;1,90;0,36;-1,70;;303.489.357,29;-11,22;-8,59;-0,01;46.730.804.618,74
B3SA3;54,01;4,80;26,56;4,50;2,38;89,87;60,06;44,52;19,69;18,18;-1,51;-0,34;11,82;14,86;-3,77;1,77;16,93;8,96;13,42;0,53;0,47;0,20;33,29;13,50;969.080.496,74;12,01;2,03;0,50;110.288.420.000,00
BBAS3;29,66;4,85;6,79;0,73;0,05;17,25;7,58;10,28;9,21;9,21;;;0,70;0,51;-0,05;33,26;10,72;0,70;;0,07;0,93;0,07;-7,77;-4,56;698.935.885,58;40,74;4,37;-0,20;84.988.268.813,20
BBDC3;23,20;2,61;12,44;1,43;0,15;-2,98;0,53;20,72;486,32;524,89;;;2,58;1,18;-0,17;11,43;11,51;1,21;;0,10;0,90;0,06;-3,00;-2,54;151.793.104,84;16,20;1,87;-0,57;222.110.124.803,68
BBDC4;26,88;2,47;14,41;1,66;0,17;-2,98;0,53;20,72;563,46;524,89;;;2,99;1,37;-0,20;11,43;11,51;1,21;;0,10;0,90;0,06;-3,00;-2,54;1.246.147.801,66;16,20;1,87;-0,66;222.110.124.803,68
BBSE3;23,96;5,64;12,44;7,50;4,40;;;;10,02;10,02;;;;62,59;-6,58;1,27;60,27;35,33;;0,59;0,41;0,00;;-1,76;177.668.850,03;3,19;1,93;-0,30;47.920.000.000,00
BEEF3;9,83;3,06;7,75;6,43;0,32;19,76;9,24;3,59;3,01;5,90;2,89;6,17;0,28;1,10;-0,96;1,76;82,98;4,12;13,90;0,05;0,95;1,15;15,30;;94.281.116,29;1,53;1,27;0,00;5.402.781.252,02
BIDI11;153,00;0,14;-5.417,07;11,80;1,97;57,47;-9,54;-0,77;-438,91;-438,91;;;41,88;-21,23;-3,71;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;316.794.366,00;12,96;-0,03;49,64;38.986.676.895,00
BIDI3;51,30;0,14;-5.448,94;11,87;1,98;57,47;-9,54;-0,77;-441,49;-438,91;;;42,13;-21,36;-3,73;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;19.995.270,82;4,32;-0,01;49,93;38.986.676.895,00
BIDI4;50,98;0,14;-5.414,95;11,80;1,97;57,47;-9,54;-0,77;-438,73;-438,91;;;41,86;-21,22;-3,70;0,83;-0,22;-0,04;;0,17;0,83;0,05;14,14;;143.157.092,32;4,32;-0,01;49,62;38.986.676.895,00
BKBR3;9,48;;-5,86;1,42;0,66;59,16;-17,30;-19,91;-6,74;-6,77;-0,03;0,01;1,17;4,71;-0,93;1,98;-24,24;-11,33;-15,04;0,47;0,53;0,57;18,70;;25.145.366,55;6,68;-1,62;0,01;2.610.369.637,56
BMGB4;5,15;3,47;7,70;0,75;0,12;72,00;3,27;10,15;23,92;23,92;;;0,78;;-0,12;;9,68;1,59;;0,16;0,84;0,16;;;8.637.177,45;6,91;0,67;0,20;3.046.093.834,65
BMOB3;19,91;;43,77;11,65;3,97;57,95;42,06;28,92;30,09;28,33;-1,77;-0,68;12,66;11,40;-7,41;4,03;26,62;9,08;24,16;0,34;0,66;0,31;;;62.528.039,94;1,71;0,45;;1.810.000.021,72
BOAS3;12,52;0,44;365,21;3,63;2,69;42,69;9,91;2,79;102,90;85,23;-17,67;-0,62;10,19;5,22;-6,67;7,24;0,99;0,74;1,90;0,74;0,26;0,26;;;12.576.214,11;3,45;0,03;-5,20;6.520.389.207,20
BPAC11;91,97;1,32;26,13;3,21;0,34;-7,36;7,72;24,86;84,12;84,12;;;6,50;-6,14;-0,88;0,92;12,29;1,30;;0,11;0,89;0,05;2,49;41,61;476.997.606,84;28,63;3,52;-2,08;85.717.275.647,61
BPAN4;10,78;1,92;19,82;2,44;0,33;61,65;9,35;6,84;14,49;14,49;;;1,35;-1,67;-0,57;0,67;12,33;1,68;;0,14;0,86;0,25;5,89;35,43;73.963.839,61;4,41;0,54;3,65;12.990.504.984,38
BRAP4;65,65;3,05;15,57;2,03;2,02;;;;15,64;14,84;-0,04;-0,01;;60,11;-2,10;11,80;13,03;12,99;12,98;1,00;0,00;0,00;;;185.470.985,21;32,34;4,22;-0,03;21.730.566.295,90
BRDT3;22,08;4,21;6,59;2,11;0,91;5,47;5,60;4,79;5,63;6,77;1,14;0,43;0,32;4,01;-1,72;1,92;31,99;13,79;17,54;0,43;0,57;2,88;-3,48;;235.057.949,84;10,48;3,35;0,09;25.723.200.000,00
BRKM5;37,91;;-4,52;-7,82;0,35;19,15;-0,12;-11,43;-420,39;-739,07;-339,73;;0,52;5,21;-0,58;1,20;-173,07;-7,77;-7,20;-0,04;1,04;0,68;4,54;;127.674.858,18;-4,85;-8,39;-0,03;28.709.465.397,94
BRML3;9,81;;-29,15;0,76;0,45;87,67;-29,88;-32,11;-31,32;-40,25;-8,93;0,22;9,36;6,17;-0,49;4,01;-2,61;-1,53;-2,77;0,59;0,41;0,05;-7,67;;162.170.899,84;12,88;-0,34;0,24;8.565.516.476,73
BRPR3;8,70;1,56;20,73;0,59;0,40;100,00;113,89;65,78;11,97;14,97;3,00;0,15;13,64;4,22;-0,46;3,57;2,83;1,94;2,54;0,68;0,32;0,03;-15,19;;20.864.851,71;14,81;0,42;-0,61;4.276.139.462,10
BRSR6;12,25;5,20;6,89;0,60;0,05;63,68;11,43;8,84;5,33;5,69;;;0,61;1,25;-0,06;2,34;8,72;0,79;;0,09;0,91;0,09;-5,25;-6,77;34.728.988,00;20,40;1,78;-0,16;5.348.294.330,90
BTOW3;59,29;;-157,56;3,50;1,47;28,42;1,78;-2,08;183,90;165,72;-18,18;-0,35;3,28;3,18;-4,86;2,96;-2,22;-0,93;0,82;0,42;0,58;0,45;2,35;;336.185.928,50;16,94;-0,38;4,67;33.207.484.828,98
CAML3;10,29;5,81;8,58;1,69;0,79;23,45;8,68;6,27;6,19;8,02;1,83;0,50;0,54;2,62;-1,81;2,17;19,73;9,23;13,28;0,47;0,53;1,47;7,98;17,95;15.105.843,32;6,08;1,20;0,22;3.807.300.000,00
CASH3;23,02;;147,70;72,19;43,75;26,36;26,36;19,77;110,77;109,96;-0,80;-0,52;29,20;88,16;-184,64;2,86;48,87;29,62;35,98;0,61;0,36;1,50;;;80.550.871,18;0,32;0,16;;2.910.487.660,00
CEAB3;11,00;;-20,39;1,28;0,46;46,42;-4,02;-4,07;-20,65;-18,83;1,81;-0,11;0,83;2,67;-0,89;1,56;-6,27;-2,28;-6,56;0,36;0,64;0,56;;;22.786.253,16;8,61;-0,54;0,00;3.390.695.748,00
CESP6;28,09;8,10;5,32;1,28;0,63;37,95;42,39;90,17;11,32;13,27;1,37;0,15;4,80;134,76;-0,68;1,06;23,99;11,88;-7,30;0,50;0,50;0,13;-8,26;;78.391.625,71;22,00;5,28;0,11;9.676.613.374,94
